Line,Env,Yield,ASI,PH
CKDHL0192,KTI,5.41,2.3,216
CKDHL0193,KTI,6.06,3.3,244
CKDHL0194,KTI,4.39,2.7,200
CKDHL0195,KTI,5.65,3.3,213
CKDHL0196,KTI,5.41,2.3,227
CKDHL0197,KTI,8.76,2,247
CKDHL0198,KTI,6.13,3,227
CKDHL0199,KTI,5.52,3,220
CKDHL0200,KTI,5.05,2,221
CKDHL0201,KTI,5.92,2,233
CKDHL0202,KTI,5.81,3,193
CKDHL0203,KTI,6.24,3,230
CKDHL0204,KTI,5.29,1.7,219
CKDHL0206,KTI,5.01,1.7,203
CKDHL0208,KTI,6.24,1,241
CKDHL0209,KTI,4.23,1.3,203
CKDHL0211,KTI,6.79,1,245
CKDHL0212,KTI,7.17,2.7,221
CKDHL0214,KTI,8.54,3,248
CKDHL0216,KTI,7.24,2.7,240
CKDHL0217,KTI,6.23,1.3,249
CKDHL0218,KTI,5.83,3,235
CKDHL0219,KTI,8.15,2,252
CKDHL0221,KTI,8.04,1.7,262
CKDHL0225,KTI,6.59,2.3,219
CKDHL0226,KTI,5.93,1.3,212
CKDHL0227,KTI,8.17,2.7,250
CKDHL0228,KTI,6.13,1.3,234
CKDHL0229,KTI,4.15,4.3,203
CKDHL0231,KTI,6.85,1.7,244
CKDHL0232,KTI,6.34,3.3,225
CKDHL0234,KTI,3.96,3.7,213
CKDHL0235,KTI,6.86,1.3,239
CKDHL0236,KTI,5.85,1.7,210
CKDHL0238,KTI,8.55,2.7,258
CKDHL0239,KTI,5.16,3.7,219
CKDHL0241,KTI,5.62,1.3,235
CKDHL0246,KTI,5.91,4.3,224
CKDHL0248,KTI,6.28,1,248
CKDHL0251,KTI,7.1,4.7,240
CKDHL0253,KTI,6.67,2.3,241
CKDHL0254,KTI,6.88,1.3,258
CKDHL0256,KTI,5.42,4.3,234
CKDHL0257,KTI,6.5,2,244
CKDHL0258,KTI,4.34,4,197
CKDHL0259,KTI,3.89,5,196
CKDHL0262,KTI,6.69,1.7,233
CKDHL0265,KTI,5.67,3,237
CKDHL0266,KTI,6.58,3,230
CKDHL0272,KTI,4.65,3,230
CKDHL0273,KTI,7.59,3,250
CKDHL0275,KTI,6.61,2.3,242
CKDHL0276,KTI,6.06,1,252
CKDHL0277,KTI,6.02,3.3,235
CKDHL0279,KTI,6.86,2.7,245
CKDHL0429,KTI,7.36,3,245
CKDHL0430,KTI,7.18,2.7,242
CKDHL0431,KTI,6.8,3,233
CKDHL0432,KTI,4.95,3,241
CKDHL0433,KTI,6.86,2.7,234
CKDHL0434,KTI,6.11,3.7,235
CKDHL0435,KTI,4.13,3,258
CKDHL0436,KTI,7.1,2,242
CKDHL0437,KTI,7.17,1.7,235
CKDHL0438,KTI,6.67,1,227
CKDHL0439,KTI,8.62,1.3,236
CKDHL0440,KTI,6.02,1.7,232
CKDHL0441,KTI,5.62,3,239
CKDHL0443,KTI,7.27,3,246
CKDHL0444,KTI,7.48,2,243
CKDHL0445,KTI,6.27,3.3,232
CKDHL0446,KTI,6.15,1.3,234
CKDHL0447,KTI,5.64,1.3,230
CKDHL0448,KTI,5.48,3.3,247
CKDHL0449,KTI,5.71,2.3,232
CKDHL0450,KTI,6.18,0,255
CKDHL0451,KTI,7.38,2.3,254
CKDHL0452,KTI,4.65,1.7,239
CKDHL0453,KTI,4.41,3.7,236
CKDHL0454,KTI,7.08,2.3,234
CKDHL0457,KTI,6.26,4.7,235
CKDHL0458,KTI,6.23,3,227
CKDHL0459,KTI,5.16,2.3,243
CKDHL0460,KTI,7.71,3,236
CKDHL0461,KTI,6.41,3,249
CKDHL0462,KTI,5.68,2.3,231
CKDHL0463,KTI,5.76,1.3,245
CKDHL0464,KTI,5.91,2,234
CKDHL0467,KTI,7.21,1,244
CKDHL0468,KTI,6.56,1.7,246
CKDHL0469,KTI,4.95,2,213
CKDHL0470,KTI,7.18,2.3,222
CKDHL0471,KTI,6.02,2.3,261
CKDHL0473,KTI,5.55,1.3,249
CKDHL0474,KTI,7.61,3,246
CKDHL0475,KTI,7.09,2,249
CKDHL0476,KTI,5.72,1.7,251
CKDHL0477,KTI,6.31,3,252
CKDHL0478,KTI,8.6,1.7,232
CKDHL0479,KTI,7.04,1.7,239
CKDHL0480,KTI,4.69,3.3,208
CKDHL0482,KTI,7.05,1.7,232
CKDHL0483,KTI,5.85,1.7,232
CKDHL0484,KTI,6.64,2,239
CKDHL0485,KTI,4.44,2,247
CKDHL0486,KTI,6.01,2.3,246
CKDHL0487,KTI,7.4,2,241
CKDHL0489,KTI,6.58,3.7,249
CKDHL0490,KTI,6.15,1.7,244
CKDHL0491,KTI,5.8,2,230
CKDHL0492,KTI,7.12,3.3,237
CKDHL0493,KTI,5.79,4.7,235
CKDHL0494,KTI,6.44,3.3,240
CKDHL0497,KTI,6.71,1,239
CKDHL0498,KTI,6.13,2.3,219
CKDHL0499,KTI,7.54,2.7,246
CKDHL0502,KTI,8.09,2,269
CKDHL0503,KTI,7.04,2.3,241
CKDHL0504,KTI,4.99,1.7,234
CKDHL0505,KTI,8.13,1.7,232
CKDHL0506,KTI,6.72,2,242
CKDHL0507,KTI,7.25,2.3,224
CKDHL0511,KTI,8.03,1.7,222
CKDHL0512,KTI,5.58,1.7,238
CKDHL0513,KTI,7.44,3,229
CKDHL0514,KTI,5.8,3,232
CKDHL0515,KTI,6.52,3.3,227
CKDHL0516,KTI,5.56,3.3,216
CKDHL0521,KTI,4.54,2.7,226
CKDHL0523,KTI,6.66,2.3,228
CKDHL0524,KTI,4.55,2,218
CKDHL0525,KTI,6.41,1.7,232
CKDHL0526,KTI,8.15,3,236
CKDHL0527,KTI,5.86,2.3,245
CKDHL0528,KTI,7.29,1,247
CKDHL0529,KTI,5.81,1.3,250
CKDHL0530,KTI,7.24,2.3,242
CKDHL0531,KTI,6.21,1.7,240
CKDHL0638,KTI,4.01,3.3,212
CKDHL0640,KTI,5.05,3,203
CKDHL0641,KTI,5.68,2,229
CKDHL0643,KTI,5.81,2.7,198
CKDHL0644,KTI,6.11,2.7,222
CKDHL0645,KTI,6.08,1.7,221
CKDHL0646,KTI,4.59,2,208
CKDHL0647,KTI,3.85,2.3,195
CKDHL0648,KTI,5.59,2.7,210
CKDHL0649,KTI,5.46,3.3,221
CKDHL0650,KTI,5.47,2,220
CKDHL0651,KTI,5.85,1.3,226
CKDHL0652,KTI,5.72,2,228
CKDHL0653,KTI,5.03,1,201
CKDHL0660,KTI,5.34,2,185
CKDHL0662,KTI,6.36,1,228
CKDHL0663,KTI,6.45,3.3,213
CKDHL0664,KTI,3.89,3.7,208
