Line,Env,DTHD,DTMT,GY,Height
GID7628193,Bed5IR,69,112,6.16863435,107
GID7628201,Bed5IR,78,122,7.00321654,102
GID7628212,Bed5IR,68,111,6.57844791,101
GID7628213,Bed5IR,71,116,6.377707717,107
GID7628218,Bed5IR,73,117,5.789698173,106
GID7628220,Bed5IR,66,107,5.557559773,99
GID7628222,Bed5IR,67,106,5.859339693,96
GID7628250,Bed5IR,85,129,6.06796664,115
GID7628253,Bed5IR,74,117,6.779039297,105
GID7628425,Bed5IR,83,124,7.03054797,103
GID7628434,Bed5IR,82,125,6.37475699,96
GID7628439,Bed5IR,82,125,6.77965993,103
GID7628442,Bed5IR,83,125,7.20130362,105
GID7628467,Bed5IR,67,106,5.860515921,97
GID7628468,Bed5IR,77,114,7.298732354,106
GID7628473,Bed5IR,80,118,7.047025878,98
GID7628477,Bed5IR,77,115,6.529699501,107
GID7628492,Bed5IR,75,113,6.616825804,101
GID7628540,Bed5IR,65,108,6.162816664,91
GID7628581,Bed5IR,81,121,6.889960441,96
GID7628586,Bed5IR,68,110,6.253588731,107
GID7628588,Bed5IR,76,110,6.328959308,102
GID7628590,Bed5IR,76,114,6.519803858,105
GID7628593,Bed5IR,65,107,6.174870004,104
GID7628597,Bed5IR,76,115,6.583046691,102
GID7628598,Bed5IR,77,114,6.347485738,103
GID7628632,Bed5IR,90,129,7.009824211,114
GID7628658,Bed5IR,76,114,6.464745391,97
GID7628680,Bed5IR,70,114,6.411993428,95
GID7628703,Bed5IR,75,111,5.684115435,96
GID7628704,Bed5IR,78,117,5.611423378,94
GID7628724,Bed5IR,69,113,6.265503082,100
GID7628728,Bed5IR,80,121,7.110352932,99
GID7628745,Bed5IR,75,116,6.393551218,101
GID7628764,Bed5IR,69,112,6.014763848,102
GID7628772,Bed5IR,81,120,6.886250092,96
GID7628787,Bed5IR,66,113,5.938649238,97
GID7628792,Bed5IR,65,108,5.655321345,92
GID7628807,Bed5IR,71,110,6.520036885,106
GID7628810,Bed5IR,80,118,6.580452392,100
GID7628813,Bed5IR,80,117,6.827173845,99
GID7628841,Bed5IR,81,122,7.147331388,101
