Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCV04304,1,38,103.3333333,42.33333333,233.3333333,11
ICCV04305,1,37.33333333,104,41.56666667,315.6666667,12.33333333
ICCV04306,1,33.66666667,101.6666667,44.43333333,220.3333333,11.33333333
ICCV04307,1,40.66666667,103.3333333,43.56666667,240.3333333,11.66666667
ICCV04308,1,36.33333333,103.6666667,42.76666667,274,11
ICCV04309,1,44,104.3333333,41.1,291.6666667,11.66666667
ICCV04310,1,32.33333333,103,45.03333333,263.6666667,11.33333333
ICCV04311,1,33.33333333,102.3333333,43.33333333,314,11.66666667
ICCV04312,1,35.33333333,104.3333333,46.76666667,209.3333333,11.33333333
ICCV05102,1,38.66666667,104,44.76666667,253.6666667,11
ICCV05103,1,42.66666667,105,55.9,252.3333333,12
ICCV05105,1,38.66666667,105,38,175.3333333,11.66666667
ICCV05106,1,38,102.6666667,33.9,157.3333333,11
ICCV05107,1,35,105.3333333,37.86666667,185.3333333,11
ICCV05109,1,38.66666667,102.3333333,39.76666667,241,11.66666667
ICCV05110,1,41.33333333,102.3333333,36.1,188,11.66666667
ICCV05112,1,36.33333333,104.6666667,31.63333333,266.6666667,12
ICCV05113,1,42.66666667,108,42.03333333,148,11.33333333
ICCV05114,1,44,103.3333333,30.66666667,346,11
ICCV05115,1,43.33333333,102.6666667,24.86666667,140.6666667,10.33333333
ICCV05116,1,40,100.6666667,30.2,206.6666667,10.66666667
ICCV05301,1,34,104.3333333,42,268.3333333,11.33333333
ICCV05303,1,34,101.6666667,36.33333333,228.3333333,11
ICCV05306,1,32.66666667,102,42.43333333,325.3333333,11.33333333
ICCV05307,1,33.66666667,102,45.33333333,154.3333333,10.66666667
ICCV05308,1,33.66666667,102.3333333,42.56666667,268,11.66666667
ICCV05309,1,32,100.6666667,35.8,150,11.33333333
ICCV05310,1,33,101.3333333,37.63333333,255.3333333,11.66666667
ICCV05311,1,32.33333333,101,33.23333333,178.6666667,11.33333333
ICCV05312,1,31.66666667,100.3333333,42.66666667,139,10.66666667
ICCV05313,1,33,101.6666667,33.23333333,255.3333333,12.33333333
ICCV05314,1,33.33333333,102.6666667,44.76666667,345.3333333,11.66666667
ICCV05315,1,36,103.6666667,43.1,245,11
ICCV06101,1,44.33333333,103.3333333,41.2,346.3333333,11
ICCV06102,1,46.33333333,104,31,202.6666667,11.33333333
ICCV06103,1,38.33333333,105.3333333,38.1,392,11.66666667
ICCV06104,1,42,106,29.1,181,12.33333333
ICCV06105,1,34,103.3333333,39.03333333,248,11.33333333
ICCV06106,1,41.33333333,104,40.66666667,267.6666667,11.66666667
ICCV06107,1,37,102.3333333,37.66666667,257.3333333,11.33333333
ICCV06108,1,36,103.6666667,38,231.6666667,11.66666667
ICCV06109,1,34.66666667,102,38.46666667,155.6666667,11
ICCV06301,1,32.66666667,101.3333333,36.43333333,287,10.66666667
ICCV06303,1,32,100,45.43333333,263.3333333,10.66666667
ICCV06304,1,34.66666667,106,44.36666667,184.3333333,11.33333333
ICCV06305,1,33,102.3333333,40.13333333,200.6666667,11.33333333
ICCV06306,1,34,102,42.96666667,289,12.33333333
ICCV06307,1,32.66666667,101,34.83333333,217,12.33333333
ICCV07101,1,46.33333333,104,36.23333333,262.6666667,11.66666667
ICCV07102,1,47.33333333,103,44,346.3333333,11.66666667
ICCV07103,1,47.33333333,106,42.46666667,237,12
ICCV07104,1,44.33333333,104,43.53333333,163,10.66666667
ICCV07105,1,46.33333333,102.3333333,42.9,183.6666667,11.66666667
ICCV07106,1,42.33333333,105.3333333,36.43333333,252.3333333,10.66666667
ICCV07107,1,43.66666667,102.6666667,35.66666667,322.6666667,11
ICCV07108,1,41.33333333,105,30.56666667,245.6666667,11.33333333
ICCV07109,1,41.66666667,104.3333333,35.1,150.6666667,11.33333333
ICCV07110,1,41.33333333,102.3333333,37.33333333,234,11.66666667
ICCV07111,1,46.66666667,104,43.13333333,283.6666667,11.66666667
ICCV07112,1,48,103.3333333,41.1,270.3333333,12
ICCV07113,1,47,102.6666667,34.23333333,339.6666667,12.33333333
ICCV07114,1,47.33333333,107,43.7,216,11.33333333
ICCV07115,1,43.66666667,102.3333333,31.56666667,193.3333333,11.66666667
ICCV07116,1,47.33333333,103,31.8,324.6666667,11.66666667
ICCV07117,1,43.66666667,103.6666667,32.13333333,306.3333333,12
ICCV07118,1,42.66666667,104.6666667,34.43333333,269.3333333,11.33333333
ICCV07301,1,33.33333333,102.3333333,42.66666667,288,10.66666667
ICCV07302,1,34,102.6666667,40.2,141.6666667,11
ICCV07303,1,33.66666667,101,38.43333333,164,10.33333333
ICCV07304,1,31.66666667,101.6666667,38.2,152.6666667,11.33333333
ICCV07305,1,33,102.3333333,44.8,192.3333333,12.33333333
ICCV07306,1,34,105.6666667,38.3,327.3333333,11.66666667
